54;[ 54, 7 ];(C9 x C3) : C2;[ 2, 3 ];The semidirect product of C9 and S3 acting via S3/C3=C2
54;[ 54, 8 ];((C3 x C3) : C3) : C2;[ 2, 3 ];2nd semidirect product of He3 and C2 acting faithfully
54;[ 54, 9 ];C18 x C3;[ 2, 3 ];Abelian group of type [3,18]
54;[ 54, 10 ];C2 x ((C3 x C3) : C3);[ 2, 3 ];Direct product of C2 and He3
54;[ 54, 11 ];C2 x (C9 : C3);[ 2, 3 ];Direct product of C2 and 3-&hairsp1+2
54;[ 54, 12 ];C3 x C3 x S3;[ 2, 3 ];Direct product of C32 and S3
54;[ 54, 13 ];C3 x ((C3 x C3) : C2);[ 2, 3 ];Direct product of C3 and C3&rtimesS3
54;[ 54, 14 ];(C3 x C3 x C3) : C2;[ 2, 3 ];3rd semidirect product of C33 and C2 acting faithfully
54;[ 54, 15 ];C6 x C3 x C3;[ 2, 3 ];Abelian group of type [3,3,6]
55;[ 55, 1 ];C11 : C5;[ 5, 11 ];The semidirect product of C11 and C5 acting faithfully
55;[ 55, 2 ];C55;[ 5, 11 ];Cyclic group
56;[ 56, 1 ];C7 : C8;[ 2, 7 ];The semidirect product of C7 and C8 acting via C8/C4=C2
56;[ 56, 2 ];C56;[ 2, 7 ];Cyclic group
56;[ 56, 3 ];C7 : Q8;[ 2, 7 ];Dicyclic group
56;[ 56, 4 ];C4 x D14;[ 2, 7 ];Direct product of C4 and D7
56;[ 56, 5 ];D56;[ 2, 7 ];Dihedral group
56;[ 56, 6 ];C2 x (C7 : C4);[ 2, 7 ];Direct product of C2 and Dic7
56;[ 56, 7 ];(C14 x C2) : C2;[ 2, 7 ];The semidirect product of C7 and D4 acting via D4/C22=C2
56;[ 56, 8 ];C28 x C2;[ 2, 7 ];Abelian group of type [2,28]
56;[ 56, 9 ];C7 x D8;[ 2, 7 ];Direct product of C7 and D4
56;[ 56, 10 ];C7 x Q8;[ 2, 7 ];Direct product of C7 and Q8
56;[ 56, 11 ];(C2 x C2 x C2) : C7;[ 2, 7 ];Frobenius group
56;[ 56, 12 ];C2 x C2 x D14;[ 2, 7 ];Direct product of C22 and D7
56;[ 56, 13 ];C14 x C2 x C2;[ 2, 7 ];Abelian group of type [2,2,14]
57;[ 57, 1 ];C19 : C3;[ 3, 19 ];The semidirect product of C19 and C3 acting faithfully
57;[ 57, 2 ];C57;[ 3, 19 ];Cyclic group
58;[ 58, 1 ];D58;[ 2, 29 ];Dihedral group
58;[ 58, 2 ];C58;[ 2, 29 ];Cyclic group
59;[ 59, 1 ];C59;[ 59 ];Cyclic group
60;[ 60, 1 ];C5 x (C3 : C4);[ 2, 3, 5 ];Direct product of C5 and Dic3
60;[ 60, 2 ];C3 x (C5 : C4);[ 2, 3, 5 ];Direct product of C3 and Dic5
60;[ 60, 3 ];C15 : C4;[ 2, 3, 5 ];Dicyclic group
60;[ 60, 4 ];C60;[ 2, 3, 5 ];Cyclic group
60;[ 60, 5 ];A5;[ 2, 3, 5 ];Alternating group on 5 letters
60;[ 60, 6 ];C3 x (C5 : C4);[ 2, 3, 5 ];Direct product of C3 and F5
60;[ 60, 7 ];C15 : C4;[ 2, 3, 5 ];The semidirect product of C3 and F5 acting via F5/D5=C2
60;[ 60, 8 ];S3 x D10;[ 2, 3, 5 ];Direct product of S3 and D5
60;[ 60, 9 ];C5 x A4;[ 2, 3, 5 ];Direct product of C5 and A4
60;[ 60, 10 ];C6 x D10;[ 2, 3, 5 ];Direct product of C6 and D5
60;[ 60, 11 ];C10 x S3;[ 2, 3, 5 ];Direct product of C10 and S3
60;[ 60, 12 ];D60;[ 2, 3, 5 ];Dihedral group
60;[ 60, 13 ];C30 x C2;[ 2, 3, 5 ];Abelian group of type [2,30]
