57;[ 57, 1 ];C19 : C3;[ 3, 19 ];
57;[ 57, 2 ];C57;[ 3, 19 ];
58;[ 58, 1 ];D58;[ 2, 29 ];
58;[ 58, 2 ];C58;[ 2, 29 ];
59;[ 59, 1 ];C59;[ 59 ];
60;[ 60, 1 ];C5 x (C3 : C4);[ 2, 3, 5 ];
60;[ 60, 2 ];C3 x (C5 : C4);[ 2, 3, 5 ];
60;[ 60, 3 ];C15 : C4;[ 2, 3, 5 ];
60;[ 60, 4 ];C60;[ 2, 3, 5 ];
60;[ 60, 5 ];A5;[ 2, 3, 5 ];
60;[ 60, 6 ];C3 x (C5 : C4);[ 2, 3, 5 ];
60;[ 60, 7 ];C15 : C4;[ 2, 3, 5 ];
60;[ 60, 8 ];S3 x D10;[ 2, 3, 5 ];
60;[ 60, 9 ];C5 x A4;[ 2, 3, 5 ];
60;[ 60, 10 ];C6 x D10;[ 2, 3, 5 ];
60;[ 60, 11 ];C10 x S3;[ 2, 3, 5 ];
60;[ 60, 12 ];D60;[ 2, 3, 5 ];
60;[ 60, 13 ];C30 x C2;[ 2, 3, 5 ];
